aid,institution_id,from_institution_id,from_oid,from_name,from_ranking,from_latitude,from_longitude,aid,postype,job_inst,institution_id,to_institution_id,to_oid,startdate,to_rank,to_latitude,to_longitude
28960,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,28960,1,"new york university",19470,144,167,2017-07-01,9,40.7290047,-73.9951385
29368,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,29368,1,"columbia university",19007,22,29,2017-07-01,10,40.8077151,-73.9596015
29550,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,29550,6,"Yale University",19217,290,336,2016-09-01,11,41.3138919,-72.9240345
29763,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,29763,1,"university of vienna",19342,254,298,2017-07-01,76,48.219108,16.3667991
29792,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,29792,1,"university of toronto",19013,32,40,2017-07-01,19,43.6660209,-79.3998235
30123,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,30123,7,"Harvard University",19275,350,406,2016-09-11,1,42.376417,-71.1182727
30323,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,30323,6,"New York University",19470,144,167,2014-10-01,9,40.7290047,-73.9951385
30604,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,30604,7,"University of Melbourne",19215,288,334,2016-09-01,42,-37.8013795,144.9593986
30978,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,30978,1,"Tilburg University",19438,573,669,2010-09-11,22,51.5627987,5.042274
32944,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,32944,7,"University of Pennsylvania",19104,137,157,2005-01-01,6,39.953339,-75.194527
33616,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,33616,1,"University of Cambridge",19093,120,139,2017-01-01,42,52.2010116,0.1084907
33825,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,33825,6,"Harvard University ",19275,350,406,2017-01-01,1,42.376417,-71.1182727
34833,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,34833,1,"Columbia University",19007,22,29,2017-01-01,10,40.8077151,-73.9596015
36049,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,36049,6,"Yale University",19217,290,336,2018-01-01,11,41.3138919,-72.9240345
36907,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,36907,9,"University of Cambridge",19093,120,139,2018-07-01,42,52.2010116,0.1084907
38677,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,38677,6,UCLA,21842,6,36,2018-01-01,20,34.068921,-118.4451811
38798,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,38798,1,"NYU Stern School of Business",19620,742,881,2019-01-01,9,40.7290549,-73.9965233
38957,19622,747,886,"Princeton University - Economics",13,40.3490675,-74.6555328,38957,6,"Yale University",19217,290,336,2018-01-01,11,41.3138919,-72.9240345
171,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,171,1,"Vanderbilt University Medical Center",19273,347,793,2016-01-01,88,36.1447034,-86.8026551
370,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,370,1,"Shanghai University of Finance and Economics",20251,1067,1306,2010-01-01,56,31.306911,121.496763
402,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,402,15,"Hebrew University of Jerusalem",19736,866,1042,2016-01-01,79,31.7942804,35.2429186
490,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,490,1,"university of wisconsin",19047,73,85,2009-07-01,31,43.0765006,-89.4052976
505,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,505,9,"University of Michigan",21865,1096,1357,2008-08-01,14,42.2806797,-83.7302902
542,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,542,4," University of Cologne",19444,579,676,2009-01-01,38,50.9281625,6.9288192
662,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,662,15,"Yale university ",19217,290,336,2010-09-01,11,41.3138919,-72.9240345
828,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,828,15,"university of michigan",19128,2,186,2016-09-01,14,42.2738566,-83.7375824
1197,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,1197,7,"university of california",21842,6,36,2008-09-01,20,34.068921,-118.4451811
1637,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,1637,1,"George Washington University",19306,411,476,2009-01-01,84,38.8985287,-77.0474064
1784,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,1784,1,"University of Pennsylvania",19106,137,908,2016-01-01,6,39.9522188,-75.1932137
1807,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,1807,15,"Stanford University",19051,78,92,2008-04-01,3,37.4284807,-122.1658358
2121,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,2121,2,"tsinghua university",19407,535,623,2010-01-01,86,39.999567,116.331991
2163,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,2163,6,"Carnegie Mellon University",19126,158,185,2009-01-01,51,40.4441758,-79.9455565
2852,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,2852,1,"Michigan State University",19809,33,41,2017-01-01,73,42.7323099,-84.4790719
2919,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,2919,1,"University of Virginia ",19043,70,83,2003-01-01,57,38.034837,-78.5064309
3035,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,3035,2,"Tsinghua University",19407,535,623,2010-03-08,86,39.999567,116.331991
3172,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,3172,1,"Carnegie Mellon University",19127,158,522,2010-01-01,51,40.4410936,-79.9422009
3341,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,3341,1,"Australia National University",19732,67,1035,2010-01-01,78,-35.2766747,149.1234344
3476,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,3476,2,"university of wisconsin",19047,73,85,2010-01-01,31,43.0765006,-89.4052976
3556,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,3556,1,"Peking University",21022,1043,1273,2010-08-01,63,39.986913,116.3058739
4600,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,4600,2,"Johns Hopkins University",19019,40,49,2011-01-01,66,39.3251692,-76.6227679
4854,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,4854,9,"Boston College",19240,312,362,2010-01-01,69,42.3362748,-71.168524
5006,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,5006,1,"Carnegie Mellon University",19126,158,185,2010-08-01,51,40.4441758,-79.9455565
5094,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,5094,1,"Georgetown University",19062,85,99,2003-01-01,60,38.9089853,-77.0734746
5137,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,5137,10,"University of Michigan",19128,2,186,2007-01-01,14,42.2738566,-83.7375824
5243,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,5243,9,"University of Michigan",21865,1096,1357,2011-01-01,14,42.2806797,-83.7302902
5256,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,5256,1,"NATIONAL UNIVERSITY OF SINGAPORE ",19329,439,507,2010-01-01,27,1.2966426,103.7763939
5287,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,5287,15,"University of Pennsylvania",19106,137,908,2013-07-01,6,39.9522188,-75.1932137
6820,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,6820,9,"University of Michigan",19132,2,1351,2011-08-01,14,42.2722976,-83.7403873
6963,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,6963,1,"Johns Hopkins University",19737,867,1043,2012-01-01,66,38.90813,-77.040279
7019,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,7019,7,"University of maryland",18997,13,20,2012-03-08,24,38.9847953,-76.9440122
7484,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,7484,1,"University of maryland",18997,13,20,2011-08-01,24,38.9847953,-76.9440122
8010,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,8010,1,"Carnegie Mellon University",19126,158,185,2015-03-08,51,40.4441758,-79.9455565
8204,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,8204,15,"Northwestern University",19003,18,25,2012-03-08,12,42.0571538,-87.6716364
9110,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,9110,1,"University of Toronto",19013,32,40,2012-01-01,19,43.6660209,-79.3998235
9112,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,9112,15,"University of Michigan",19128,2,186,2008-01-01,14,42.2738566,-83.7375824
10865,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,10865,1,"University of Washington",19068,91,105,2004-01-01,69,47.6571109,-122.3083677
11298,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,11298,7,"University of Maryland",18997,13,20,2015-01-01,24,38.9847953,-76.9440122
11415,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,11415,1,"National University of Singapore",19329,439,507,2012-01-01,27,1.2966426,103.7763939
11467,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,11467,15,"DARTMOUTH COLLEGE",19376,510,593,2012-08-01,83,43.7058278,-72.2899576
11614,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,11614,1,"Tsinghua University",19407,535,623,2012-01-01,86,39.999567,116.331991
11880,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,11880,1,"National University of Singapore",19329,439,507,2013-03-08,27,1.2966426,103.7763939
12132,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,12132,1,"Arizona State University",19900,370,432,2012-01-01,72,33.4166016,-111.9341819
12163,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,12163,6,"University of Oxford",19150,186,217,2012-01-01,8,51.7574088,-1.2468664
12191,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,12191,10,"University of Michigan",19128,2,186,2015-01-01,14,42.2738566,-83.7375824
13205,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,13205,1,"Peking University",21022,1043,1273,2013-01-01,63,39.986913,116.3058739
13553,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,13553,1,"Peking University",21022,1043,1273,2013-01-01,63,39.986913,116.3058739
14994,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,14994,15,"Massachusetts Institute of Technology",19238,311,361,2015-03-01,7,42.3606249,-71.0835567
15148,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,15148,15,"National University of Singapore",19329,439,507,2013-01-01,27,1.2966426,103.7763939
15286,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,15286,2,"Purdue University",19049,74,177,2008-01-01,93,40.4236941,-86.9110578
15384,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,15384,6,"Ohio State University",19318,465,499,2011-10-01,60,40.0017935,-83.0093428
15391,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,15391,9,"Michigan State University",19810,33,1151,2015-03-08,73,42.7310122,-84.4793057
15648,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,15648,1,"Duke University",19998,17,24,2014-01-01,15,36.0014258,-78.9382286
17065,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,17065,15,"University of Pennsylvania",19104,137,157,2017-09-01,6,39.953339,-75.194527
17187,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,17187,1," Johns Hopkins University",21860,1080,1328,2013-01-01,66,39.327396,-76.6216163
17595,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,17595,1,"Peking University",19530,651,767,2014-03-08,63,40.039255,116.346939
17660,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,17660,7,"University of Michigan",21865,1096,1357,2011-09-01,14,42.2806797,-83.7302902
18701,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,18701,1,"University of Maryland",18997,13,20,2015-08-01,24,38.9847953,-76.9440122
18806,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,18806,7,"University of Maryland-College Park",18997,13,20,2018-01-01,24,38.9847953,-76.9440122
19646,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,19646,1,"University of Southern California",19231,125,354,2014-01-01,51,34.0223519,-118.285117
20483,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,20483,1,"National University of Singapore",19329,439,507,2014-01-01,27,1.2966426,103.7763939
20487,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,20487,2,"Cornell University",19383,361,420,2015-03-08,18,42.4534492,-76.4735027
20541,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,20541,1,"Harvard University",19275,350,406,2019-01-01,1,42.376417,-71.1182727
20700,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,20700,1,sauder,19030,57,631,2014-07-01,47,49.2648239,-123.2537939
20857,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,20857,6,"Institute for Healthcare Policy and Innovation ",21865,1096,1357,2014-01-01,14,42.2806797,-83.7302902
20878,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,20878,1,"Vanderbilt University",19272,347,403,2016-01-01,88,36.1482018,-86.8027714
20923,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,20923,6,"University of Chicago",19359,339,942,2014-01-01,2,41.7904792,-87.5967462
21225,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,21225,9,"University of Washington",19068,91,105,2016-01-01,69,47.6571109,-122.3083677
21531,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,21531,1,"Johns Hopkins University  ",19019,40,49,2016-09-01,66,39.3251692,-76.6227679
21664,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,21664,2,"university of Toronto",19013,32,40,2014-01-01,19,43.6660209,-79.3998235
22111,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,22111,1,"London Business School",19430,564,660,2014-01-01,98,51.5261552,-0.160668
22226,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,22226,1,"The Pennsylvania State University",19537,658,775,2014-01-01,79,40.8038071,-77.8652101
23229,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,23229,9,"UNIVERSITY OF CHICAGO LAW SCHOOL",19358,339,570,2014-01-01,2,41.7899222,-87.5973383
23485,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,23485,9,"Harvard University Center for the Environment",19275,350,406,2015-01-01,1,42.376417,-71.1182727
23713,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,23713,1,"Michigan State University",19809,33,41,2017-08-01,73,42.7323099,-84.4790719
23990,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,23990,6,"University of Michigan",19128,2,186,2013-01-01,14,42.2738566,-83.7375824
25228,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,25228,1,"purdue university",19048,74,86,2016-07-01,93,40.4236941,-86.9110578
25407,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,25407,7,"University of Southern California",19231,125,354,2015-08-01,51,34.0223519,-118.285117
27195,19128,2,186,"University of Michigan - Department of Economics",14,42.2738566,-83.7375824,27195,7,"University of Michigan",19128,2,186,2007-09-01,14,42.2738566,-83.7375824
